Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AgeGroup_26-35,AgeGroup_36-45,AgeGroup_46-55,AgeGroup_55+,Attrition_Yes,BusinessTravel_TravelRarely,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,SalarySlab_15k+,SalarySlab_5k-10k,SalarySlab_Upto 5k,OverTime_Yes
-2.0730502769781274,-1.4178599034186774,-0.7652464895973328,0.08714559137643514,0.2524018028772911,-0.5828964614194172,0.37918524785738567,-0.9635037534714079,0.24914756992240936,-1.082217381130687,1.5379847867366128,-0.6766905117381694,-0.6048366608471561,-0.4256350590724081,0.26923836464899886,0.0,-0.9313750756576494,-1.4522917813767866,-0.6193731201179314,0.3384185131053941,-1.1461084375308992,-1.1697413680912299,-0.6781384819017218,-1.1586349716269329,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
-2.0730502769781274,0.02634189473719107,0.09592596665167531,0.08714559137643514,1.167976970177269,0.15524177618887983,-1.0238001692149419,-0.9635037534714079,0.24914756992240936,-1.1290391093924592,-0.6434154208808087,-0.6766905117381694,-0.878501674009428,-0.4256350590724081,-1.5798232579984166,0.0,-0.9313750756576494,-1.4522917813767866,-0.6193731201179314,0.3384185131053941,-1.1461084375308992,-1.1697413680912299,-0.6781384819017218,-1.1586349716269329,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
-2.0730502769781274,1.2521764106976705,-0.5191972163833304,0.08714559137643514,-0.6631733644226868,0.15524177618887983,0.37918524785738567,-0.9635037534714079,-0.6568435934318068,-0.9847430559311794,-0.8776040433376406,-0.6766905117381694,-0.3311716476848842,-0.4256350590724081,1.1937691759727065,0.0,-0.9313750756576494,-1.4522917813767866,0.15680996013146611,0.3384185131053941,-1.1461084375308992,-1.1697413680912299,-0.6781384819017218,-1.1586349716269329,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
-2.0730502769781274,-1.2764174592693913,-0.5191972163833304,-0.8899413422381385,-0.6631733644226868,0.35207863955109236,0.37918524785738567,-0.9635037534714079,1.1551387332766254,-1.1607501889879321,-0.11329114578182994,-0.6766905117381694,-0.057506634522612336,-0.4256350590724081,1.1937691759727065,0.0,-0.9313750756576494,-1.4522917813767866,-0.6193731201179314,0.3384185131053941,-1.1461084375308992,-1.1697413680912299,-0.6781384819017218,-1.1586349716269329,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
-2.0730502769781274,-1.3756753148127498,-0.15012330656232697,-1.8670282758527121,0.2524018028772911,0.6965431504349643,0.37918524785738567,-0.9635037534714079,0.24914756992240936,-0.9792095789547881,-0.10442995466184171,-0.6766905117381694,-0.878501674009428,-0.4256350590724081,1.1937691759727065,0.0,-0.9313750756576494,-1.4522917813767866,-2.1717392806167264,0.3384185131053941,-1.1461084375308992,-1.1697413680912299,-0.6781384819017218,-1.1586349716269329,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
-2.0730502769781274,0.8005531679753886,-1.011295762811335,0.08714559137643514,1.167976970177269,1.5330998197243677,0.37918524785738567,-0.9635037534714079,1.1551387332766254,-1.0415676079579665,0.7041888984939102,-0.6766905117381694,-0.057506634522612336,-0.4256350590724081,0.26923836464899886,0.0,-0.9313750756576494,-1.4522917813767866,1.7091761206302611,1.7532755735460241,-1.1461084375308992,-1.1697413680912299,-0.6781384819017218,-1.1586349716269329,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
-2.0730502769781274,-0.6386857374033119,-0.7652464895973328,-0.8899413422381385,-0.6631733644226868,0.20445099202943295,0.37918524785738567,-0.9635037534714079,1.1551387332766254,-1.0505063015352138,0.5797102613321707,-0.6766905117381694,-0.878501674009428,-0.4256350590724081,0.26923836464899886,0.0,-0.9313750756576494,-1.4522917813767866,-0.6193731201179314,1.7532755735460241,-1.1461084375308992,-1.1697413680912299,-0.6781384819017218,-1.1586349716269329,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
-2.0730502769781274,1.5623572092706661,0.58802451307968,0.08714559137643514,-0.6631733644226868,-1.6162899940710331,0.37918524785738567,-0.9635037534714079,0.24914756992240936,-1.062211733600657,-0.8833708502569981,-0.6766905117381694,0.21615837863965956,-0.4256350590724081,0.26923836464899886,0.0,-0.9313750756576494,-1.4522917813767866,0.9329930403808636,-2.491295607775866,-1.1461084375308992,-1.1697413680912299,-0.6781384819017218,-1.1586349716269329,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
-1.963466934956282,-0.6783888796206553,1.572221605935689,-1.8670282758527121,1.167976970177269,-0.7797333247816298,0.37918524785738567,-0.9635037534714079,0.24914756992240936,-1.0279467415545418,1.7612024106639355,-0.6766905117381694,1.0371534181264752,-0.4256350590724081,1.1937691759727065,0.0,-0.9313750756576494,-1.4522917813767866,-0.6193731201179314,-1.0764385473352358,-1.1461084375308992,-1.1697413680912299,-0.6781384819017218,-1.1586349716269329,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
-1.963466934956282,0.9419956121246746,-0.7652464895973328,-1.8670282758527121,-0.6631733644226868,0.6473339345944112,0.37918524785738567,-0.9635037534714079,-0.6568435934318068,-1.0688093407648158,0.25367468964752415,-0.6766905117381694,-0.3311716476848842,-0.4256350590724081,1.1937691759727065,0.0,-0.9313750756576494,-1.3235625583763888,0.15680996013146611,0.3384185131053941,-0.9825996186041853,-1.1697413680912299,-0.6781384819017218,-1.1586349716269329,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
